,n_train,polykernel_degree,n_test,time,algo,tr_regret,tst_regret,reweight,mixture_weight
0,5000,8,10000,42.793691873550415,LS,48744.18255614453,53533.68328978689,,
1,5000,8,10000,86.01876091957092,reweight_LS,46261.62616793083,52210.03664718618,1.0,0.2
2,5000,8,10000,84.70522785186768,reweight_LS,46527.42562742675,50858.97208297982,1.0,0.4
3,5000,8,10000,84.77468705177307,reweight_LS,47180.676791985716,52940.29535039569,1.0,0.6
4,5000,8,10000,86.09581708908081,reweight_LS,36559.19396837664,40503.28728846969,1.0,0.8
5,5000,8,10000,3721.0769081115723,SPO,48759.324598693034,53570.38482754666,,
6,5000,8,10000,43.23646593093872,LS,42258.88429039171,54736.64018943743,,
7,5000,8,10000,86.25330972671509,reweight_LS,41935.3322671964,52255.53936080806,1.0,0.2
8,5000,8,10000,84.94722366333008,reweight_LS,41756.440708421535,49679.01149261662,1.0,0.4
9,5000,8,10000,85.13543367385864,reweight_LS,40487.93229841561,50079.76935896588,1.0,0.6
10,5000,8,10000,86.68898415565491,reweight_LS,49668.069200434475,61218.64161079655,1.0,0.8
11,5000,8,10000,3717.8722219467163,SPO,42251.99399799196,54698.660946497264,,
12,5000,8,10000,43.193902254104614,LS,44281.51322537663,58682.34515745137,,
13,5000,8,10000,85.75232815742493,reweight_LS,45565.74492952891,59543.21351356983,1.0,0.2
14,5000,8,10000,84.4690535068512,reweight_LS,44787.94709878472,57338.94443168538,1.0,0.4
15,5000,8,10000,84.77769804000854,reweight_LS,34502.198823015955,43127.96255575099,1.0,0.6
16,5000,8,10000,86.49081134796143,reweight_LS,56231.13505465057,67422.08312185066,1.0,0.8
17,5000,8,10000,3710.452105283737,SPO,44259.03437649668,58688.783093236445,,
18,5000,8,10000,43.48424005508423,LS,48779.430654215095,59602.44993072406,,
19,5000,8,10000,85.88518714904785,reweight_LS,48872.76187016684,59067.10573329842,1.0,0.2
20,5000,8,10000,84.74973678588867,reweight_LS,48230.62288778848,58903.43114729907,1.0,0.4
21,5000,8,10000,84.70683789253235,reweight_LS,42929.34148766106,56272.87411916474,1.0,0.6
22,5000,8,10000,86.95124006271362,reweight_LS,40921.767654939045,50736.973860945196,1.0,0.8
23,5000,8,10000,3715.611584186554,SPO,48775.582907364034,59557.063985341025,,
24,5000,8,10000,44.063740253448486,LS,51049.96973374943,56458.167418654695,,
25,5000,8,10000,86.6054151058197,reweight_LS,49337.765579431645,55675.620831044784,1.0,0.2
26,5000,8,10000,85.66826796531677,reweight_LS,47788.21108714469,52864.52475896627,1.0,0.4
27,5000,8,10000,85.35526037216187,reweight_LS,37658.4064042368,48877.70944076035,1.0,0.6
28,5000,8,10000,88.15853428840637,reweight_LS,57148.55173390026,70193.83565415874,1.0,0.8
29,5000,8,10000,3714.511186361313,SPO,50928.127018083826,56454.61008269476,,
30,5000,8,10000,43.1309711933136,LS,37187.9662277318,52924.82688321116,,
31,5000,8,10000,84.93593001365662,reweight_LS,36630.00809197092,52576.20799801667,1.0,0.2
32,5000,8,10000,84.07290434837341,reweight_LS,33707.65213639888,49574.528633246984,1.0,0.4
33,5000,8,10000,83.7771201133728,reweight_LS,31206.85611697836,45348.03401929389,1.0,0.6
34,5000,8,10000,86.4136803150177,reweight_LS,44183.801200116584,62872.99738276494,1.0,0.8
35,5000,8,10000,3701.73419213295,SPO,37190.415375468256,52920.82115004652,,
36,5000,8,10000,43.75057792663574,LS,52167.67462710113,63241.58791115521,,
37,5000,8,10000,85.962327003479,reweight_LS,51266.853434781115,64127.41365334061,1.0,0.2
38,5000,8,10000,85.48962116241455,reweight_LS,49189.69057990975,55150.122006653735,1.0,0.4
39,5000,8,10000,84.6309928894043,reweight_LS,50506.74823003752,62367.81003570521,1.0,0.6
40,5000,8,10000,88.15789008140564,reweight_LS,74419.20542321625,80514.29425691879,1.0,0.8
41,5000,8,10000,3713.2761611938477,SPO,52172.05197223182,63221.60219979074,,
42,5000,8,10000,43.154456615448,LS,37343.33970233662,49105.226389101896,,
43,5000,8,10000,85.13136553764343,reweight_LS,37056.869942902216,48647.76177372506,1.0,0.2
44,5000,8,10000,84.8337767124176,reweight_LS,37386.32537395336,49165.26526865764,1.0,0.4
45,5000,8,10000,84.00140357017517,reweight_LS,37149.99904130541,50094.12765616698,1.0,0.6
46,5000,8,10000,87.48909568786621,reweight_LS,40095.77068455471,52047.629676095006,1.0,0.8
47,5000,8,10000,3696.2656750679016,SPO,37333.863225255045,49138.36858748933,,
